Current, MR_Crater, MR_Peak, MinCrater, MaxPeak, Average, Rising, State, Acceleration
10.740934491494702, 17.673000000000002, 0, 0, 0, 10.740934491494702, 1, 2, 1.0050146999999998
10.749448984255608, 17.673000000000002, 0, 10.731553285218741, 0, 10.749448984255608, 1, 2, 1.0050146999999998
10.756580513914722, 17.673000000000002, 0, 10.731553285218741, 0, 10.756580513914722, 1, 2, 1.002583
10.761885761305765, 17.673000000000002, 0, 10.731553285218741, 0, 10.761885761305765, 1, 2, 1.002583
10.76501339072447, 17.673000000000002, 0, 10.731553285218741, 0, 10.76501339072447, 1, 2, 1.002583
10.765717466592116, 17.673000000000002, 0, 10.731553285218741, 0, 10.765717466592116, 1, 2, 1.0075644
10.76386524576301, 17.673000000000002, 0, 10.731553285218741, 0, 10.76386524576301, 1, 2, 1.0075644
10.759439576208308, 17.673000000000002, 0, 10.731553285218741, 0, 10.759439576208308, 1, 2, 1.0075644
10.752536295539114, 17.673000000000002, 0, 10.731553285218741, 0, 10.752536295539114, 1, 2, 1.0075644
10.743357135000164, 17.673000000000002, 0, 10.731553285218741, 0, 10.743357135000164, 1, 2, 1.0075644
10.732198705019847, 17.673000000000002, 0, 10.731553285218741, 0, 10.732198705019847, 1, 2, 1.0075644
10.719438177792155, 17.673000000000002, 0, 10.731553285218741, 0, 10.719438177792155, 1, 2, 1.0075644
10.705516301600321, 17.673000000000002, 0, 10.731553285218741, 0, 10.705516301600321, 1, 2, 1.0075644
10.690918390522302, 17.673000000000002, 0, 10.731553285218741, 0, 10.690918390522302, 1, 2, 1.0075644
10.676153939563397, 17.673000000000002, 0, 10.731553285218741, 0, 10.676153939563397, 1, 2, 1.0075644
10.661735524156924, 17.673000000000002, 0, 10.731553285218741, 0, 10.661735524156924, 1, 2, 1.0070290000000002
10.64815765623948, 17.673000000000002, 0, 10.731553285218741, 0, 10.64815765623948, 1, 2, 1.0070290000000002
10.635876285415131, 17.673000000000002, 0, 10.731553285218741, 0, 10.635876285415131, 1, 2, 1.0070290000000002
10.62528964875536, 17.673000000000002, 0, 10.731553285218741, 0, 10.62528964875536, 1, 2, 1.0070290000000002
10.616721179737388, 17.673000000000002, 0, 10.731553285218741, 0, 10.616721179737388, 1, 2, 1.0055273999999998
10.610405177208074, 17.673000000000002, 0, 10.731553285218741, 0, 10.610405177208074, 1, 2, 1.0055273999999998
10.60647589994266, 17.673000000000002, 0, 10.731553285218741, 0, 10.60647589994266, 1, 2, 1.0055273999999998
10.604960682845865, 17.673000000000002, 0, 10.731553285218741, 0, 10.604960682845865, 1, 2, 1.0055273999999998
10.605777560617057, 17.673000000000002, 0, 10.731553285218741, 0, 10.605777560617057, 1, 2, 1.002951
10.608737730591619, 17.673000000000002, 0, 10.731553285218741, 0, 10.608737730591619, 1, 2, 1.002951
10.613552989695012, 17.673000000000002, 0, 10.731553285218741, 0, 10.613552989695012, 1, 2, 1.002951
10.619848047259653, 17.673000000000002, 0, 10.731553285218741, 0, 10.619848047259653, 1, 2, 1.002951
10.62717735720617, 17.673000000000002, 0, 10.731553285218741, 0, 10.62717735720617, 1, 2, 1.002951
10.635045845622688, 17.673000000000002, 0, 10.731553285218741, 0, 10.635045845622688, 1, 2, 1.0032248
10.642932652201766, 17.673000000000002, 0, 10.731553285218741, 0, 10.642932652201766, 1, 2, 1.0032248
